Latitude,Longitude,Time,Label,Location
38.761292,-120.586594,Mon Oct 05 08:31:41 +0000 2015,1,Pollock Pines  Ca
45.438384,10.991622,Mon Oct 05 08:31:42 +0000 2015,1,Verona  Italy
-36.848460,174.763331,Mon Oct 05 08:31:46 +0000 2015,1,Auckland  New Zealand
34.052234,-118.243685,Mon Oct 05 08:31:48 +0000 2015,1,Los Angeles
56.013036,-3.603531,Mon Oct 05 08:31:51 +0000 2015,1,Bo ness  Scotland
43.183605,-89.213725,Mon Oct 05 08:31:52 +0000 2015,1,Sun Prairie  Wi
24.299174,54.697277,Mon Oct 05 08:31:52 +0000 2015,1,Abu Dhabi
44.977753,-93.265011,Mon Oct 05 08:31:55 +0000 2015,1,Minneapolis  MN USA
18.796413,98.965959,Mon Oct 05 08:32:00 +0000 2015,2,Chiang Mai  Thailand
40.825901,-74.209005,Mon Oct 05 08:32:01 +0000 2015,1,Montclair  NJ
34.052234,-118.243685,Mon Oct 05 08:32:04 +0000 2015,1,Los Angeles  CA
46.204391,6.143158,Mon Oct 05 08:32:04 +0000 2015,1,Geneva  Switzerland
45.438384,10.991622,Mon Oct 05 08:32:04 +0000 2015,1,Verona  Italy
43.661471,-70.255326,Mon Oct 05 08:32:04 +0000 2015,1,Portland  Maine
33.689060,-78.886694,Mon Oct 05 08:32:08 +0000 2015,1,Myrtle Beach SC
24.299174,54.697277,Mon Oct 05 08:32:11 +0000 2015,1,Abu Dhabi
51.466994,-1.185368,Mon Oct 05 08:32:15 +0000 2015,1,Oxfordshire  Bucks and Berks.
47.376887,8.541694,Mon Oct 05 08:32:17 +0000 2015,1,Zurich  Switzerland
47.497912,19.040235,Mon Oct 05 08:32:19 +0000 2015,1,Budapest  Hungary
33.520661,-86.802490,Mon Oct 05 08:32:19 +0000 2015,1,Birmingham
34.195433,-79.762563,Mon Oct 05 08:32:26 +0000 2015,1,Florence  South Carolina
13.756331,100.501765,Mon Oct 05 08:32:28 +0000 2015,1,Bangkok
34.195433,-79.762563,Mon Oct 05 08:32:28 +0000 2015,1,Florence  South Carolina
34.195433,-79.762563,Mon Oct 05 08:32:29 +0000 2015,1,Florence  South Carolina
34.195433,-79.762563,Mon Oct 05 08:32:29 +0000 2015,1,Florence  South Carolina
34.195433,-79.762563,Mon Oct 05 08:32:29 +0000 2015,1,Florence  South Carolina
34.195433,-79.762563,Mon Oct 05 08:32:30 +0000 2015,1,Florence  South Carolina
34.149246,-78.093834,Mon Oct 05 08:32:34 +0000 2015,1,Winnabow  NC
34.195433,-79.762563,Mon Oct 05 08:32:38 +0000 2015,1,Florence  South Carolina
34.195433,-79.762563,Mon Oct 05 08:32:38 +0000 2015,1,Florence  South Carolina
34.195433,-79.762563,Mon Oct 05 08:32:39 +0000 2015,1,Florence  South Carolina
34.195433,-79.762563,Mon Oct 05 08:32:39 +0000 2015,1,Florence  South Carolina
34.195433,-79.762563,Mon Oct 05 08:32:39 +0000 2015,1,Florence  South Carolina
34.195433,-79.762563,Mon Oct 05 08:32:40 +0000 2015,1,Florence  South Carolina
34.195433,-79.762563,Mon Oct 05 08:32:40 +0000 2015,1,Florence  South Carolina
34.195433,-79.762563,Mon Oct 05 08:32:40 +0000 2015,1,Florence  South Carolina
34.195433,-79.762563,Mon Oct 05 08:32:40 +0000 2015,1,Florence  South Carolina
51.611309,0.520680,Mon Oct 05 08:32:50 +0000 2015,1,Wickford  Essex  UK
37.544271,-4.727753,Mon Oct 05 08:32:52 +0000 2015,1,Andalucía  España
29.790328,74.463079,Mon Oct 05 08:32:52 +0000 2015,1,sangaria
19.246470,-99.101350,Mon Oct 05 08:32:53 +0000 2015,1,Mexico D.F.
48.573405,7.752111,Mon Oct 05 08:32:54 +0000 2015,1,Strasbourg
54.523610,-1.559458,Mon Oct 05 08:32:54 +0000 2015,1,Darlington   UK
53.480759,-2.242631,Mon Oct 05 08:32:57 +0000 2015,1,Manchester  England
-27.471011,153.023449,Mon Oct 05 08:32:58 +0000 2015,1,Brisbane
47.606209,-122.332071,Mon Oct 05 08:33:02 +0000 2015,1,In a sock drawer in Seattle
27.950575,-82.457178,Mon Oct 05 08:33:12 +0000 2015,1,Tampa  Florida   USA
32.083541,-81.099834,Mon Oct 05 08:33:13 +0000 2015,1,Savannah
27.950575,-82.457178,Mon Oct 05 08:33:18 +0000 2015,1,Tampa  FL
27.950575,-82.457178,Mon Oct 05 08:33:18 +0000 2015,1,Tampa  FL
53.408371,-2.991573,Mon Oct 05 08:33:19 +0000 2015,1,Liverpool
5.603717,-0.186964,Mon Oct 05 08:33:19 +0000 2015,1,Accra  Ghana
52.406822,-1.519693,Mon Oct 05 08:33:23 +0000 2015,1,Coventry
19.442466,-155.232871,Mon Oct 05 08:33:24 +0000 2015,1,Volcano  Hawaii
53.480759,-2.242631,Mon Oct 05 08:33:26 +0000 2015,1,Manchester  England
38.793447,-77.271650,Mon Oct 05 08:33:27 +0000 2015,1,Burke  VA
29.760427,-95.369803,Mon Oct 05 08:33:33 +0000 2015,1,Houston US
51.454513,-2.587910,Mon Oct 05 08:33:34 +0000 2015,1,Bristol 
-6.174465,106.822745,Mon Oct 05 08:33:37 +0000 2015,1,DKI Jakarta
53.480759,-2.242631,Mon Oct 05 08:33:38 +0000 2015,1,Manchester  England
52.406822,-1.519693,Mon Oct 05 08:33:39 +0000 2015,1,Coventry
39.739236,-104.990251,Mon Oct 05 08:33:43 +0000 2015,1,Denver
40.513998,72.816098,Mon Oct 05 08:33:47 +0000 2015,1,OSU
48.479132,8.940949,Mon Oct 05 08:33:48 +0000 2015,1,Rottenburg
54.978252,-1.617780,Mon Oct 05 08:33:53 +0000 2015,1,Newcastle
32.395131,-85.918354,Mon Oct 05 08:33:58 +0000 2015,1,Shorter  Alabama
37.774929,-122.419415,Mon Oct 05 08:34:01 +0000 2015,1,San Francisco  CA
12.981561,7.622266,Mon Oct 05 08:34:06 +0000 2015,1,Katsina
44.648862,-63.575320,Mon Oct 05 08:34:08 +0000 2015,1,Halifax  Nova Scotia
51.507351,-0.127758,Mon Oct 05 08:34:08 +0000 2015,1,london england
40.712784,-74.005941,Mon Oct 05 08:34:10 +0000 2015,1,New York  NY
28.459497,77.026638,Mon Oct 05 08:34:12 +0000 2015,1,Gurgaon  Haryana
20.951666,85.098524,Mon Oct 05 08:34:12 +0000 2015,1,Orissa  India
17.613181,121.727021,Mon Oct 05 08:34:14 +0000 2015,1,tuguegarao philippines
34.472628,-81.880656,Mon Oct 05 08:34:16 +0000 2015,1,Clinton  South Carolina
41.602324,-71.250326,Mon Oct 05 08:34:17 +0000 2015,1,Newport   Portsmouth
53.576865,-2.428219,Mon Oct 05 08:34:22 +0000 2015,1,bolton
32.776475,-79.931051,Mon Oct 05 08:34:23 +0000 2015,1,Charleston  SC
37.774929,-122.419415,Mon Oct 05 08:34:24 +0000 2015,1,San Francisco
53.480759,-2.242631,Mon Oct 05 08:34:31 +0000 2015,1,Manchester  England
44.052069,-123.086754,Mon Oct 05 08:34:34 +0000 2015,1,Eugene  OR
34.000710,-81.034814,Mon Oct 05 08:34:35 +0000 2015,1,Columbia  SC
34.000710,-81.034814,Mon Oct 05 08:34:36 +0000 2015,1,Columbia  SC
34.225726,-77.944710,Mon Oct 05 08:34:38 +0000 2015,1,Wilmington  NC
40.783060,-73.971249,Mon Oct 05 08:34:46 +0000 2015,1,Manhattan  NY
40.712784,-74.005941,Mon Oct 05 08:34:48 +0000 2015,1,New York
31.554606,74.357158,Mon Oct 05 08:34:51 +0000 2015,1,Lahore Pakistan
52.486243,-1.890401,Mon Oct 05 08:34:51 +0000 2015,1,birmingham uk
-20.917574,142.702796,Mon Oct 05 08:34:53 +0000 2015,1,Queensland
13.082680,80.270718,Mon Oct 05 08:35:04 +0000 2015,1,Chennai
38.793170,-77.447766,Mon Oct 05 08:35:05 +0000 2015,1,Yorkshire
54.523610,-1.559458,Mon Oct 05 08:35:05 +0000 2015,1,Darlington   UK
30.900965,75.857276,Mon Oct 05 08:35:06 +0000 2015,1,Ludhiana  Punjab
3.139003,101.686855,Mon Oct 05 08:35:10 +0000 2015,1,Kuala Lumpur
6.524379,3.379206,Mon Oct 05 08:35:11 +0000 2015,1,Lagos  Nigeria
33.448377,-112.074037,Mon Oct 05 08:35:19 +0000 2015,1,Phoenix  AZ
33.448377,-112.074037,Mon Oct 05 08:35:24 +0000 2015,1,Phoenix  AZ
36.425635,-5.151026,Mon Oct 05 08:35:24 +0000 2015,1,Estepona  Andalucía
29.967103,74.700133,Mon Oct 05 08:35:25 +0000 2015,1,Mandi Dabwali  Haryana
33.448377,-112.074037,Mon Oct 05 08:35:30 +0000 2015,1,Phoenix  AZ
43.784440,-88.787868,Mon Oct 05 08:35:32 +0000 2015,1,Wisconsin
27.717245,85.323960,Mon Oct 05 08:35:32 +0000 2015,1,Kathmandu  Nepal
19.075984,72.877656,Mon Oct 05 08:35:33 +0000 2015,1,Mumbai  India
39.728494,-121.837478,Mon Oct 05 08:35:35 +0000 2015,1,Chico  CA      
40.712784,-74.005941,Mon Oct 05 08:35:47 +0000 2015,1,NYC
39.103118,-84.512020,Mon Oct 05 08:35:50 +0000 2015,1,Cincinnati
53.480759,-2.242631,Mon Oct 05 08:35:52 +0000 2015,1,Manchester
38.907192,-77.036871,Mon Oct 05 08:35:54 +0000 2015,1,Washington  DC
33.448377,-112.074037,Mon Oct 05 08:35:57 +0000 2015,1,Phoenix  AZ
40.708116,-73.957070,Mon Oct 05 08:36:05 +0000 2015,1,Williamsburg  Brooklyn  NY
21.285407,39.237551,Mon Oct 05 08:36:06 +0000 2015,1,jeddah
6.524379,3.379206,Mon Oct 05 08:36:07 +0000 2015,1,LAGOS NIGERIA
35.612661,-77.366354,Mon Oct 05 08:36:12 +0000 2015,1,Greenville NC
29.488796,74.074802,Mon Oct 05 08:36:15 +0000 2015,1,Pilibangan  Dist.Hanumangarth
37.431573,-78.656894,Mon Oct 05 08:36:26 +0000 2015,1,Virginia
53.349805,-6.260310,Mon Oct 05 08:36:27 +0000 2015,1,Dublin City  Ireland
36.850769,-76.285873,Mon Oct 05 08:36:34 +0000 2015,1,Norfolk  VA
37.774929,-122.419415,Mon Oct 05 08:36:42 +0000 2015,1,San Francisco
39.011902,-98.484246,Mon Oct 05 08:36:42 +0000 2015,1,BFE Kansas
48.856614,2.352222,Mon Oct 05 08:36:43 +0000 2015,1,Paris  FRANCE
34.083658,74.797368,Mon Oct 05 08:36:59 +0000 2015,1,Srinagar Kashmir. j K
41.492537,-99.901813,Mon Oct 05 08:37:00 +0000 2015,1,Nebraska 
38.910832,-75.527670,Mon Oct 05 08:37:06 +0000 2015,1,Delaware
52.772099,-1.206166,Mon Oct 05 08:37:07 +0000 2015,1,Rotherham   Loughborough
52.520007,13.404954,Mon Oct 05 08:37:08 +0000 2015,1,Berlin  Deutschland
